1495;28413700;52453
7004;30065800;511878
2494;8886300;106152
8551;29213700;675447
3802;2199700;197750
2783;1754000;128781
447;97900;8663
6887;7094800;487320
7490;8686100;556867
2531;1284200;109164
4920;4121500;293437
8791;11316000;712386
6040;4969600;410625
4704;3435200;275159
2098;1103000;86013
2571;1153700;113906
2890;1518200;130830
275;104900;4212
6746;6805500;476405
5569;4030400;351513
6752;5215400;469592
5105;3360000;307584
2646;1183400;112812
2981;1780500;138292
6401;5057300;428276
6639;7226600;479510
7069;6586600;510541
9233;9665700;742351
7990;7108700;610930
6251;4933200;421116
9800;9909700;813838
1704;582200;61486
8389;8385600;661813
457;85000;8334
9141;9523500;747336
4364;2853400;248201
5302;3274100;319025
8713;8492100;705965
9863;10426600;860311
6065;4656800;395310
6135;4755300;417012
1996;738200;77894
7422;6387900;545596
4145;2151800;217573
9730;13472200;830740
9575;10973200;807180
6531;5241300;447230
6144;4389600;397596
1373;435700;44547
333;94800;5712
1266;378000;37735
1023;282400;28048
3609;1929900;188303
5907;5513300;406718
7197;6040000;511752
3926;2369800;207560
4690;2883100;277228
157;87800;1941
1138;612900;32820
3879;4287800;211049
8930;12717500;736306
752;180300;18534
9403;11121600;763447
9377;12636500;789734
9533;15263000;808546
905;399200;22277
4013;3149500;219462
3552;2136800;187218
5652;5766900;363643
10;1300;38
5773;5218800;374680
198;40900;2481
7571;9626600;579975
7646;7009300;576912
69;8300;556
5290;3859200;334896
9572;10000300;775714
4288;2690800;234968
431;98900;8036
4245;3648800;249666
8605;9215100;700970
8246;7821500;649601
7890;7264700;602496
9200;9713800;743884
2786;1252500;128123
9457;10061400;795333
7776;7796800;589754
1651;546900;58614
7321;7569500;532468
9443;10037200;789916
6531;6152700;454605
3271;1622100;163563
338;56600;5180
216;34200;3096
5638;3896200;360630
2502;1037400;106401
3078;1447000;146507
7600;8333200;554424
7124;7281200;510162
120;16000;1217
